"gid","survey_gid","description","source","accuracy","the_geom","object_id","mat_type","mat_tech","mat_prop","llrs","llrs_duct","height","height2","yr_built","occupy","occupy_dt","position","plan_shape","str_irreg","str_irreg_dt","str_irreg_type","str_irreg_2","str_irreg_dt_2","str_irreg_type_2","nonstrcexw","roof_shape","roofcovmat","roofsysmat","roofsystyp","roof_conn","floor_mat","floor_type","floor_conn","foundn_sys","build_type","build_subtype","vuln","comment","rrvs_status","vuln_1","vuln_2","height_1","height_2","height2_1","height2_2","year_1","year_2","object_id1","mat_type_bp","mat_tech_bp","mat_prop_bp","llrs_bp","llrs_duct_bp","height_bp","height2_bp","yr_built_bp","occupy_bp","occupy_dt_bp","position_bp","plan_shape_bp","str_irreg_bp","str_irreg_dt_bp","str_irreg_type_bp","str_irreg_2_bp","str_irreg_dt_2_bp","str_irreg_type_2_bp","nonstrcexw_bp","roof_shape_bp","roofcovmat_bp","roofsysmat_bp","roofsystyp_bp","roof_conn_bp","floor_mat_bp","floor_type_bp","floor_conn_bp","foundn_sys_bp","build_type_bp","build_subtype_bp","vuln_bp","yr_built_vt","yr_built_vt1","object_id2","mat_type_src","mat_tech_src","mat_prop_src","llrs_src","llrs_duct_src","height_src","height2_src","yr_built_src","occupy_src","occupy_dt_src","position_src","plan_shape_src","str_irreg_src","str_irreg_dt_src","str_irreg_type_src","str_irreg_2_src","str_irreg_dt_2_src","str_irreg_type_2_src","nonstrcexw_src","roof_shape_src","roofcovmat_src","roofsysmat_src","roofsystyp_src","roof_conn_src","floor_mat_src","floor_type_src","floor_conn_src","foundn_sys_src","build_type_src","build_subtype_src","vuln_src","lon","lat"
38526,9,"","OSM","","0106000020E61000000100000001030000000100000005000000D27AAEA5B6E151C0A1EAA1C7398440C0EB1ED95CB5E151C01D90847D3B8440C0EB973E2AB4E151C0725298F7388440C0D3F31373B5E151C061EDDE40378440C0D27AAEA5B6E151C0A1EAA1C7398440C0",38526,"M99","CLBLH","MO99","LWAL","DU99","H","HB","Y99","RES","RES99","BPD","PLFR","IRIR","IRVP","CHV","IRRE","IRPS","IRN","EWSL","RSH3","RMT2","RSM99","RST99","RTDP","FC","FC1","FWCP","FOSN","","","V99","","COMPLETED","","","2","","0","","99","",38526,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",38526,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-71.5266971506786","-33.0330008667778"
38552,9,"","OSM","","0106000020E61000000100000001030000000100000005000000A226FA7C94E151C04A1F5FE74B8440C050768E5C92E151C06986F997498440C04424F90093E151C0A61AACEE478440C096D4642195E151C087B3113E4A8440C0A226FA7C94E151C04A1F5FE74B8440C0",38552,"CR","CIP","MATP99","LFINF","DU99","H","HB99","Y99","RES","RES1","BPD","PLFR","IRRE","IRP99","IRT99","IRRE","IRPS","IRN","EWSL","RSH1","RMT99","RC","RC99","RCN99","FC","FC99","FWCP","FOSSL","","","V99","La casa son columnas de hormigón, se ve que en el segundo piso hay un muro y abajo en el primero piso una ventana, entonces es probable que ese muro del segundo piso no sea de hormigón si no que de albañilería.","COMPLETED","","","2","","99","","99","",38552,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",38552,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-71.5246427","-33.0335058"
38587,9,"","OSM","","0106000020E610000001000000010300000001000000050000008A0BF615DAE251C0F3881B01268240C05CA49AA3D8E251C0165FFE54268240C03E18C27BD8E251C064D46B69248240C06D7F1DEED9E251C0AC3EB214248240C08A0BF615DAE251C0F3881B01268240C0",38587,"MCF","CL99","MO99","LWAL","DU99","H","HB99","Y99","RES","RES99","BPD","PLFSQ","IRRE","IRP99","IRT99","IRRE","IRPS","IRN","EWSL","RSH2","RMT99","RWO","RWO1","RTDP","FC","FC99","FWCP","FOSSL","","","V99","","COMPLETED","","","2","","99","","99","",38587,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",38587,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-71.5445120121765","-33.0167604727176"
38628,9,"","OSM","","0106000020E6100000010000000103000000010000000E000000EBBCD75AA9E551C0F2AB83CD4A8440C044A67C08AAE551C020860C9A4C8440C09171D6F1A9E551C001D7BA794F8440C07F8D7FFAAAE551C0603B18B14F8440C0CC2AC7BFAAE551C0D0D0E407538440C0191B5F20ADE551C01D548781538440C09B559FABADE551C039865B994B8440C042830310ADE551C0404F0306498440C055AC753DACE551C0B2F677B6478440C049BC3C9DABE551C0C3BD8D28488440C03D87E8C6AAE551C041B79734468440C0D3A81B83A9E551C00B84F81B488440C073863D48AAE551C0B17A76AF498440C0EBBCD75AA9E551C0F2AB83CD4A8440C0",38628,"CR","CIP","MATP99","LWAL","DU99","H","HB99","Y99","RES","RES2F","BPD","PLFP","IRRE","IRPP","IRN","IRRE","IRPS","IRN","EWSL","RSH1","RMT99","RSM99","RST99","RCN99","FC","FC1","FWCP","FOS99","","","V99","","COMPLETED","","","18","","99","","99","",38628,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",38628,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-71.5886041616955","-33.0335992766765"
38629,9,"","OSM","","0106000020E61000000100000001030000000100000005000000FD5536621CE651C00943D3C89D8440C0C3AA306C03E651C0593739D78B8440C0D10836AEFFE551C040AABC789A8440C00BB43BA418E651C0EFB5566AAC8440C0FD5536621CE651C00943D3C89D8440C0",38629,"CR","CIP","MATP99","LWAL","DU99","H99","HB","Y99","EDU","EDU4","BPD","PLFR","IRIR","IRVP","CHV","IRRE","IRPS","IRN","EWC","RSH3","RMT2","RME","RME1","RWCP","FC","FC1","FWCP","FOSN","","","V99","","COMPLETED","","","2","","0","","99","",38629,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",38629,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-71.59460645","-33.03601465"
38662,9,"","OSM","","0106000020E6100000010000000103000000010000000B000000F67F0EF365E151C0F3C011EEDF8340C0D9E2642C64E151C0747F5072E28340C0DF01F96D63E151C040FCFCF7E08340C01549055F62E151C086BC2F78E28340C087F0790F61E151C0E78821DEDF8340C0F86008EF61E151C0B866E1A1DE8340C094BE10725EE151C0A95B87B4D78340C0E80423E55DE151C008782D7CD88340C02AB2310A5DE151C0E0D0A5C9D68340C017B1998D5FE151C07C17A53AD38340C0F67F0EF365E151C0F3C011EEDF8340C0",38662,"CR","CIP","MATP99","LWAL","DU99","H","HB99","Y99","RES","RES2","BPD","PLFE","IRIR","IRVP","SET","IR99","IRP99","IRT99","EWSL","RSH1","RMN","RC","RC99","RWCP","FC","FC1","FWCP","FOS99","","","V99","El número de pisos corresponde a los 23 de la torre mayor + 2 niveles que se observan por la presencia de ventanas.","COMPLETED","","","25","","99","","99","",38662,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",38662,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-71.5215849018532","-33.0301279147267"
38666,9,"","OSM","","0106000020E61000000100000001030000000100000005000000EB3C85B7E2E151C06661F481898440C08D6B3299E0E151C077C6AD388B8440C05C6B949AE2E151C0A94BC631928440C0BB3CE7B8E4E151C098E60C7B908440C0EB3C85B7E2E151C06661F481898440C0",38666,"CR","CIP","MO99","LWAL","DU99","H","HB99","Y99","RES","RES99","BPD","PLFR","IRRE","IRP99","IRT99","IRRE","IRPS","IRN","EWSL","RSH1","RMT99","RC","RC2","RWCP","FC","FC2","FWCP","FOSDL","","","V99","","COMPLETED","","","7","","99","","99","",38666,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",38666,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-71.52945925","-33.03557895"
38668,9,"","OSM","","0106000020E61000000100000001030000000100000005000000FF90234248E251C05C8C26BCA98740C057EA59104AE251C00EC1CCD2A98740C057BC47EC49E251C0347E86DCB18740C0FF62111E48E251C08149E0C5B18740C0FF90234248E251C05C8C26BCA98740C0",38668,"MCF","CLBRS","MO99","LWAL","DU99","H","HB99","Y99","RES","RES2","BPD","PLFR","IR99","IRP99","IRT99","IRRE","IRPS","IRN","EWSL","RSH2","RMT6","RWO","RWO1","RTDP","FC","FC1","FWCP","FOS99","","","V99","","COMPLETED","","","5","","99","","99","",38668,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",38668,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-71.5357111","-33.0599914"
38704,9,"","OSM","","0106000020E610000001000000010300000001000000050000009B3DD00A8CE951C0ECD0FAA58F8640C0137706578AE951C03FCF55A98F8640C030D5CC5A8AE951C0E95CF690958640C0B89B960E8CE951C0965E9B8D958640C09B3DD00A8CE951C0ECD0FAA58F8640C0",38704,"MCF","CL99","MO99","LWAL","DU99","H","HB99","Y99","RES","RES2","BPD","PLFR","IRRE","IRP99","IRT99","IRRE","IRPS","IRN","EWMA","RSH1","RMN","RC","RC1","RWCP","FC","FC1","FWCP","FOS99","","","V99","","COMPLETED","","","4","","99","","99","",38704,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",38704,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-71.649121","-33.0513491"
38713,9,"","OSM","","0106000020E610000001000000010300000001000000050000001D42F053B0E951C08A7B87365B8640C00004070FAEE951C007F98F3B5B8640C0B321A413AEE951C0B6CD9E15628640C0CF5F8D58B0E951C0CE0F6D11628640C01D42F053B0E951C08A7B87365B8640C0",38713,"MCF","CLBRS","MO99","LWAL","DU99","H","HB99","Y99","RES","RES2","BPD","PLFR","IRRE","IRPP","IRN","IRRE","IRPS","IRN","EWSL","RSH1","RMT6","RC","RC1","RWCP","FC","FC1","FWCP","FOS99","","","V99","","COMPLETED","","","4","","99","","99","",38713,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",38713,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-71.6513185055179","-33.0497634749119"
